Sample: 'S1', Data: 'sigma'
---------------------------

n          | T          | Expt.      | n          | T          | Calc.      | Diff.     
  1.30e+19 |        355 |     437.43 |   1.30e+19 |        276 |     437.43 |   1.40e-09
  1.30e+19 |        362 |     422.39 |   1.30e+19 |        284 |     422.39 |   1.05e-09
  1.30e+19 |        369 |     408.64 |   1.30e+19 |        293 |     408.64 |   1.98e-09
  1.30e+19 |        375 |     396.46 |   1.30e+19 |        300 |     396.46 |   7.86e-10
  1.30e+19 |        382 |     385.68 |   1.30e+19 |        308 |     385.68 |   1.96e-09
  1.30e+19 |        388 |     375.24 |   1.30e+19 |        315 |     375.24 |   2.33e-10
  1.30e+19 |        395 |     365.98 |   1.30e+19 |        322 |     365.98 |   1.84e-11
  1.30e+19 |        399 |     354.67 |   1.30e+19 |        331 |     354.67 |   1.85e-09

Sample: 'S3', Data: 'sigma', Mode: 'best_match'
-----------------------------------------------

n          | T          | Expt.      | n          | T          | Calc.      | Diff.     
----------------------------------------------------------------------------------------
  1.30e+19 |        204 |    1218.33 |   5.03e+19 |        300 |    1218.33 |  -1.31e-05
  1.30e+19 |        210 |    1145.93 |   9.83e+19 |        540 |    1145.93 |  -8.56e-06
  1.30e+19 |        217 |    1076.44 |   9.99e+19 |        580 |    1076.44 |  -5.80e-06
  1.30e+19 |        224 |    1012.39 |   1.01e+20 |        620 |    1012.39 |  -1.60e-05
  1.30e+19 |        230 |     960.14 |   9.84e+19 |        640 |     960.14 |  -7.36e-06
  1.30e+19 |        237 |     909.29 |   7.50e+19 |        540 |     909.29 |  -3.35e-06
  1.30e+19 |        243 |     869.87 |   7.44e+19 |        560 |     869.87 |   5.97e-09
  1.30e+19 |        250 |     827.61 |   9.88e+19 |        740 |     827.61 |  -1.63e-06
  1.30e+19 |        256 |     782.68 |   7.47e+19 |        620 |     782.68 |  -2.45e-10
  1.30e+19 |        263 |     746.16 |   9.92e+19 |        820 |     746.16 |  -8.87e-06
  1.30e+19 |        270 |     714.35 |   2.50e+19 |        280 |     714.35 |  -5.03e-06
  1.30e+19 |        276 |     683.84 |   1.00e+20 |        900 |     683.84 |  -1.09e-05
  1.30e+19 |        283 |     655.51 |   2.47e+19 |        300 |     655.51 |  -4.03e-06
  1.30e+19 |        290 |     627.52 |   7.44e+19 |        760 |     627.52 |  -4.49e-06
  1.30e+19 |        296 |     606.05 |   9.95e+19 |       1000 |     606.05 |  -8.28e-07
  1.30e+19 |        303 |     575.54 |   2.50e+19 |        340 |     575.54 |   1.25e-12
  1.30e+19 |        309 |     555.19 |   7.53e+19 |        860 |     555.19 |  -1.53e-06
  1.30e+19 |        316 |     538.50 |   2.50e+19 |        360 |     538.50 |  -1.48e-11
  1.30e+19 |        322 |     511.34 |   7.44e+19 |        920 |     511.34 |  -7.49e-07
  1.30e+19 |        329 |     495.76 |   4.97e+19 |        680 |     495.76 |  -2.55e-06
  1.30e+19 |        336 |     480.84 |   7.51e+19 |        980 |     480.84 |  -8.09e-07
  1.30e+19 |        342 |     467.77 |   5.00e+19 |        720 |     467.77 |  -2.78e-06
  1.30e+19 |        349 |     449.39 |   4.93e+19 |        740 |     449.39 |  -5.30e-07
  1.30e+19 |        355 |     437.43 |   4.95e+19 |        760 |     437.43 |  -1.27e-06
  1.30e+19 |        362 |     422.39 |   1.00e+19 |        220 |     422.39 |  -6.27e-06
  1.30e+19 |        369 |     408.64 |   2.48e+19 |        460 |     408.64 |  -1.04e-06
  1.30e+19 |        375 |     396.46 |   5.02e+19 |        840 |     396.46 |  -4.70e-06
  1.30e+19 |        382 |     385.68 |   5.02e+19 |        860 |     385.68 |  -8.11e-07
  1.30e+19 |        388 |     375.24 |   5.01e+19 |        880 |     375.24 |  -1.16e-06
  1.30e+19 |        395 |     365.98 |   5.01e+19 |        900 |     365.98 |  -2.33e-10
  1.30e+19 |        399 |     354.67 |   4.96e+19 |        920 |     354.67 |  -3.50e-07

Sample: 'S3', Data: 's', Mode: 'same'
-------------------------------------

n          | T          | Expt.      | n          | T          | Calc.      | Diff.     
----------------------------------------------------------------------------------------
  1.30e+19 |        203 |     -93.86 |   1.30e+19 |        203 |     -68.88 |   2.50e+01
  1.30e+19 |        218 |     -97.55 |   1.30e+19 |        218 |     -73.70 |   2.38e+01
  1.30e+19 |        233 |    -100.10 |   1.30e+19 |        233 |     -78.52 |   2.16e+01
  1.30e+19 |        253 |    -105.39 |   1.30e+19 |        253 |     -84.64 |   2.07e+01
  1.30e+19 |        267 |    -109.53 |   1.30e+19 |        267 |     -89.12 |   2.04e+01
  1.30e+19 |        282 |    -113.12 |   1.30e+19 |        282 |     -93.47 |   1.96e+01
  1.30e+19 |        301 |    -117.58 |   1.30e+19 |        301 |     -98.98 |   1.86e+01
  1.30e+19 |        316 |    -122.21 |   1.30e+19 |        316 |    -103.28 |   1.89e+01
  1.30e+19 |        331 |    -125.41 |   1.30e+19 |        331 |    -107.48 |   1.79e+01
  1.30e+19 |        350 |    -132.03 |   1.30e+19 |        350 |    -112.57 |   1.95e+01
  1.30e+19 |        366 |    -136.35 |   1.30e+19 |        366 |    -116.58 |   1.98e+01
  1.30e+19 |        380 |    -142.62 |   1.30e+19 |        380 |    -120.21 |   2.24e+01
  1.30e+19 |        391 |    -146.34 |   1.30e+19 |        391 |    -122.95 |   2.34e+01

Sample: 'S3', Data: 's', Mode: 'same_t'
---------------------------------------

n          | T          | Expt.      | n          | T          | Calc.      | Diff.     
----------------------------------------------------------------------------------------
  1.30e+19 |        203 |     -93.86 |   6.57e+18 |        203 |     -93.86 |  -1.85e-08
  1.30e+19 |        218 |     -97.55 |   6.98e+18 |        218 |     -97.55 |   2.27e-09
  1.30e+19 |        233 |    -100.10 |   7.56e+18 |        233 |    -100.10 |  -3.00e-07
  1.30e+19 |        253 |    -105.39 |   7.93e+18 |        253 |    -105.39 |  -5.39e-08
  1.30e+19 |        267 |    -109.53 |   8.13e+18 |        267 |    -109.53 |  -4.19e-07
  1.30e+19 |        282 |    -113.12 |   8.41e+18 |        282 |    -113.12 |  -6.49e-08
  1.30e+19 |        301 |    -117.58 |   8.74e+18 |        301 |    -117.58 |  -1.29e-07
  1.30e+19 |        316 |    -122.21 |   8.79e+18 |        316 |    -122.21 |  -6.09e-07
  1.30e+19 |        331 |    -125.41 |   9.05e+18 |        331 |    -125.41 |  -5.71e-07
  1.30e+19 |        350 |    -132.03 |   8.91e+18 |        350 |    -132.03 |  -1.03e-07
  1.30e+19 |        366 |    -136.35 |   8.93e+18 |        366 |    -136.35 |  -1.64e-07
  1.30e+19 |        380 |    -142.62 |   8.61e+18 |        380 |    -142.62 |  -6.49e-07
  1.30e+19 |        391 |    -146.34 |   8.52e+18 |        391 |    -146.34 |  -1.18e-07

Sample: 'S3', Data: 's', Mode: 'same_n'
---------------------------------------

n          | T          | Expt.      | n          | T          | Calc.      | Diff.     
----------------------------------------------------------------------------------------
  1.30e+19 |        203 |     -93.86 |   1.30e+19 |        283 |     -93.86 |   1.68e-10
  1.30e+19 |        218 |     -97.55 |   1.30e+19 |        296 |     -97.55 |   2.68e-10
  1.30e+19 |        233 |    -100.10 |   1.30e+19 |        305 |    -100.10 |   2.03e-10
  1.30e+19 |        253 |    -105.39 |   1.30e+19 |        324 |    -105.39 |   1.99e-10
  1.30e+19 |        267 |    -109.53 |   1.30e+19 |        339 |    -109.53 |   4.33e-10
  1.30e+19 |        282 |    -113.12 |   1.30e+19 |        353 |    -113.12 |   2.75e-10
  1.30e+19 |        301 |    -117.58 |   1.30e+19 |        370 |    -117.58 |   2.32e-10
  1.30e+19 |        316 |    -122.21 |   1.30e+19 |        388 |    -122.21 |   3.24e-10
  1.30e+19 |        331 |    -125.41 |   1.30e+19 |        401 |    -125.41 |   2.81e-10
  1.30e+19 |        350 |    -132.03 |   1.30e+19 |        428 |    -132.03 |   4.18e-10
  1.30e+19 |        366 |    -136.35 |   1.30e+19 |        446 |    -136.35 |   2.69e-10
  1.30e+19 |        380 |    -142.62 |   1.30e+19 |        473 |    -142.62 |   1.55e-10
  1.30e+19 |        391 |    -146.34 |   1.30e+19 |        490 |    -146.34 |   1.55e-10

Sample: 'S3', Data: 's', Mode: 'best_match'
-------------------------------------------

n          | T          | Expt.      | n          | T          | Calc.      | Diff.     
----------------------------------------------------------------------------------------
  1.30e+19 |        203 |     -93.86 |   1.00e+20 |        760 |     -93.86 |  -9.69e-08
  1.30e+19 |        218 |     -97.55 |   9.96e+18 |        260 |     -97.55 |  -5.89e-08
  1.30e+19 |        233 |    -100.10 |   2.45e+20 |        920 |    -100.10 |  -4.48e-08
  1.30e+19 |        253 |    -105.39 |   2.51e+20 |        980 |    -105.39 |  -1.21e-07
  1.30e+19 |        267 |    -109.53 |   2.49e+19 |        500 |    -109.53 |  -5.87e-07
  1.30e+19 |        282 |    -113.12 |   7.49e+19 |        840 |    -113.12 |  -5.30e-10
  1.30e+19 |        301 |    -117.58 |   7.58e+18 |        280 |    -117.58 |  -1.35e-07
  1.30e+19 |        316 |    -122.21 |   7.49e+19 |        900 |    -122.21 |  -4.18e-07
  1.30e+19 |        331 |    -125.41 |   7.46e+19 |        920 |    -125.41 |  -1.84e-07
  1.30e+19 |        350 |    -132.03 |   7.48e+18 |        320 |    -132.03 |  -2.59e-10
  1.30e+19 |        366 |    -136.35 |   4.99e+19 |        880 |    -136.35 |  -1.05e-08
  1.30e+19 |        380 |    -142.62 |   5.01e+19 |        920 |    -142.62 |  -1.84e-09
  1.30e+19 |        391 |    -146.34 |   4.97e+19 |        940 |    -146.34 |  -3.06e-07


