Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave
7.5E+19,380,171268.359,171268.359,54071.8086,132202.844,-45.4328117,-45.4328117,-48.754673,-46.5401001,1.48612106,1.48612106,0.471752673,1.14799821,142.529739,142.529739,44.9986229,110.019371,3.54E-04,3.54E-04,1.29E-04,2.86E-04
1E+20,380,216839.297,216839.297,68823.8594,167500.812,-40.0463257,-40.0463257,-44.9374657,-41.6767082,1.94217563,1.94217563,0.641417444,1.50858963,135.340439,135.340439,42.9564743,104.545784,3.48E-04,3.48E-04,1.39E-04,2.91E-04
2.5E+20,380,468489.469,468489.469,191252.688,376077.219,-39.2714195,-39.2714195,-57.8750153,-45.4726143,4.2889967,4.2889967,1.70202625,3.42667317,116.963257,116.963257,47.7482147,93.8915787,7.23E-04,7.23E-04,6.41E-04,7.78E-04
5E+20,380,858424.625,858424.625,425321.531,714056.938,-33.107708,-33.107708,-43.1950989,-36.4701729,7.77663136,7.77663136,3.80228281,6.45184851,107.157303,107.157303,53.0929642,89.1358566,9.41E-04,9.41E-04,7.94E-04,9.50E-04
7.5E+20,380,1229391.5,1229391.5,678167.375,1045650.19,-29.4133511,-29.4133511,-35.306488,-31.3777313,11.0096788,11.0096788,5.70970154,9.24302006,102.310104,102.310104,56.4371681,87.0191269,1.06E-03,1.06E-03,8.45E-04,1.03E-03
1E+21,380,1588949.75,1588949.75,889494.438,1355798,-25.7957535,-25.7957535,-25.9868813,-25.8594608,14.279232,14.279232,7.65972328,12.0727282,99.1744461,99.1744461,55.5178757,84.6222534,1.06E-03,1.06E-03,6.01E-04,9.07E-04
1E+16,400,35.1794434,35.1794434,9.55830193,26.6390629,-683.617004,-683.617004,-702.194946,-689.809631,2.47E-04,2.47E-04,6.83E-05,1.87E-04,219.5728,219.5728,59.6582298,166.267944,1.64E-05,1.64E-05,4.71E-06,1.27E-05
2.5E+16,400,87.9046707,87.9046707,23.8674011,66.5589142,-605.145386,-605.145386,-623.369324,-611.220032,6.22E-04,6.22E-04,1.71E-04,4.71E-04,219.463135,219.463135,59.5874405,166.171234,3.22E-05,3.22E-05,9.27E-06,2.49E-05
5E+16,400,175.432785,175.432785,47.6545067,132.840027,-545.663696,-545.663696,-563.842102,-551.723145,1.24E-03,1.24E-03,3.41E-04,9.41E-04,218.993073,218.993073,59.4872093,165.824448,5.22E-05,5.22E-05,1.52E-05,4.04E-05
7.5E+16,400,262.612122,262.612122,71.3680191,198.86409,-510.933105,-510.933105,-529.062256,-516.976135,1.86E-03,1.86E-03,5.10E-04,1.41E-03,218.546143,218.546143,59.3925552,165.494949,6.86E-05,6.86E-05,2.00E-05,5.31E-05
1E+17,400,349.491058,349.491058,95.0212708,264.667816,-486.373993,-486.373993,-504.463013,-492.403656,2.48E-03,2.48E-03,6.80E-04,1.88E-03,218.135178,218.135178,59.3076134,165.192657,8.27E-05,8.27E-05,2.42E-05,6.42E-05
2.5E+17,400,864.757202,864.757202,235.69194,655.068787,-408.720551,-408.720551,-426.510895,-414.650665,6.15E-03,6.15E-03,1.69E-03,4.66E-03,215.895584,215.895584,58.8429337,163.544693,1.44E-04,1.44E-04,4.29E-05,1.13E-04
5E+17,400,1703.61035,1703.61035,466.132416,1291.11768,-351.114258,-351.114258,-368.465149,-356.897858,1.22E-02,1.22E-02,3.36E-03,9.27E-03,212.661987,212.661987,58.187397,161.170456,2.10E-04,2.10E-04,6.33E-05,1.64E-04
7.5E+17,400,2520.38013,2520.38013,692.294922,1911.01843,-318.100922,-318.100922,-335.137421,-323.779755,1.82E-02,1.82E-02,5.01E-03,1.38E-02,209.746323,209.746323,57.6128654,159.035172,2.55E-04,2.55E-04,7.78E-05,2.00E-04
1E+18,400,3318.09082,3318.09082,914.708496,2516.96338,-295.12735,-295.12735,-311.845306,-300.699982,2.41E-02,2.41E-02,6.64E-03,1.83E-02,207.098953,207.098953,57.0916138,157.096512,2.89E-04,2.89E-04,8.90E-05,2.28E-04
2.5E+18,400,7809.72412,7809.72412,2193.01709,5937.48828,-225.598923,-225.598923,-240.777466,-230.658447,5.83E-02,5.83E-02,1.62E-02,4.43E-02,194.977859,194.977859,54.750946,148.23555,3.97E-04,3.97E-04,1.27E-04,3.16E-04
5E+18,400,14631.332,14631.332,4201.3335,11154.665,-178.079941,-178.079941,-191.286453,-182.482117,0.112439446,0.112439446,3.18E-02,8.55E-02,182.643188,182.643188,52.4453201,139.243896,4.64E-04,4.64E-04,1.54E-04,3.71E-04
7.5E+18,400,21040.2363,21040.2363,6138.78955,16073.0869,-152.719589,-152.719589,-164.370468,-156.60321,0.164728478,0.164728478,4.71E-02,0.125516996,175.097092,175.097092,51.0870819,133.760422,4.91E-04,4.91E-04,1.66E-04,3.94E-04
1E+19,400,27235.9141,27235.9141,8043.23438,20838.3535,-135.783951,-135.783951,-146.252884,-139.273605,0.216025829,0.216025829,6.24E-02,0.164828673,169.99321,169.99321,50.2019234,130.06279,5.02E-04,5.02E-04,1.72E-04,4.04E-04
2.5E+19,400,62361.4766,62361.4766,19127.5254,47950.1602,-88.1055832,-88.1055832,-94.5873871,-90.2661819,0.521635354,0.521635354,0.156422704,0.399897814,155.691895,155.691895,47.753849,119.712547,4.84E-04,4.84E-04,1.71E-04,3.91E-04
5E+19,400,114985.836,114985.836,36116.043,88695.9062,-60.0559006,-60.0559006,-63.8898354,-61.3338776,1.01243997,1.01243997,0.313150555,0.779343545,143.537033,143.537033,45.083725,110.719261,4.15E-04,4.15E-04,1.47E-04,3.34E-04
7.5E+19,400,162159.484,162159.484,51160.5898,125159.852,-48.0048447,-48.0048447,-51.4834328,-49.1643715,1.48215818,1.48215818,0.473898619,1.14607167,134.94931,134.94931,42.5759048,104.158173,3.74E-04,3.74E-04,1.36E-04,3.03E-04
1E+20,400,205532.203,205532.203,65243.3047,158769.234,-42.3756523,-42.3756523,-47.7359543,-44.1624184,1.94494176,1.94494176,0.648675501,1.51285303,128.283112,128.283112,40.7216682,99.0959702,3.69E-04,3.69E-04,1.49E-04,3.10E-04
2.5E+20,400,444694.5,444694.5,181309.375,356899.469,-41.2006531,-41.2006531,-60.2185631,-47.539959,4.30384636,4.30384636,1.71291983,3.44020438,111.022591,111.022591,45.2657661,89.1036453,7.55E-04,7.55E-04,6.57E-04,8.07E-04
5E+20,400,814847.188,814847.188,403513.562,677736,-34.8545609,-34.8545609,-45.3209572,-38.3433571,7.78032637,7.78032637,3.80297709,6.45454359,101.717522,101.717522,50.3706703,84.6019058,9.90E-04,9.90E-04,8.29E-04,9.96E-04
7.5E+20,400,1167384.5,1167384.5,641815,992194.688,-30.9394741,-30.9394741,-36.8616333,-32.9135284,11.0227432,11.0227432,5.70253611,9.24934101,97.1498795,97.1498795,53.4119225,82.5705643,1.12E-03,1.12E-03,8.72E-04,1.07E-03
1E+21,400,1509258.75,1509258.75,842649.625,1287055.62,-27.2054234,-27.2054234,-27.3727417,-27.2611942,14.2981358,14.2981358,7.65569592,12.0839891,94.2005234,94.2005234,52.5940552,80.3317032,1.12E-03,1.12E-03,6.31E-04,9.57E-04
1E+16,420,32.5826988,32.5826988,8.90993309,24.6917782,-692.610046,-692.610046,-710.239929,-698.486633,2.44E-04,2.44E-04,6.74E-05,1.85E-04,203.365189,203.365189,55.6114235,154.113937,1.56E-05,1.56E-05,4.49E-06,1.20E-05
2.5E+16,420,81.3488998,81.3488998,22.2507,61.6495018,-613.797913,-613.797913,-631.399536,-619.6651,6.09E-04,6.09E-04,1.68E-04,4.62E-04,203.095947,203.095947,55.551178,153.914352,3.06E-05,3.06E-05,8.87E-06,2.37E-05
5E+16,420,162.387817,162.387817,44.4244804,123.066704,-554.278809,-554.278809,-571.746765,-560.101501,1.22E-03,1.22E-03,3.36E-04,9.22E-04,202.709,202.709,55.4551582,153.62439,4.99E-05,4.99E-05,1.45E-05,3.86E-05
7.5E+16,420,243.155884,243.155884,66.5467224,184.286179,-519.554199,-519.554199,-536.984192,-525.364197,1.82E-03,1.82E-03,5.03E-04,1.38E-03,202.354614,202.354614,55.3802643,153.363159,6.56E-05,6.56E-05,1.92E-05,5.09E-05
1E+17,420,323.668335,323.668335,88.6164017,245.317688,-494.97348,-494.97348,-512.367249,-500.771393,2.43E-03,2.43E-03,6.70E-04,1.84E-03,202.017899,202.017899,55.3100128,153.11528,7.93E-05,7.93E-05,2.33E-05,6.15E-05
2.5E+17,420,802.019592,802.019592,220.025497,608.021545,-417.298584,-417.298584,-434.370697,-422.989288,6.05E-03,6.05E-03,1.67E-03,4.59E-03,200.232498,200.232498,54.9316483,151.798874,1.40E-04,1.40E-04,4.15E-05,1.09E-04
5E+17,420,1582.43469,1582.43469,435.702423,1200.19055,-359.418274,-359.418274,-376.154877,-364.997162,1.20E-02,1.20E-02,3.32E-03,9.11E-03,197.535614,197.535614,54.3888092,149.820007,2.04E-04,2.04E-04,6.16E-05,1.60E-04
7.5E+17,420,2344.5603,2344.5603,647.767822,1778.96289,-326.204346,-326.204346,-342.628326,-331.678986,1.79E-02,1.79E-02,4.94E-03,1.36E-02,195.114594,195.114594,53.9073181,148.045502,2.49E-04,2.49E-04,7.60E-05,1.96E-04
1E+18,420,3090.87524,3090.87524,856.792175,2346.18091,-303.083252,-303.083252,-319.234772,-308.467072,2.37E-02,2.37E-02,6.56E-03,1.80E-02,192.917252,192.917252,53.4767609,146.437088,2.84E-04,2.84E-04,8.73E-05,2.23E-04
2.5E+18,420,7317.68018,7317.68018,2063.02881,5566.12939,-232.809006,-232.809006,-247.545715,-237.721237,5.74E-02,5.74E-02,1.61E-02,4.37E-02,182.693481,182.693481,51.5056496,138.964203,3.97E-04,3.97E-04,1.26E-04,3.15E-04
5E+18,420,13780.2451,13780.2451,3965.99048,10508.8271,-184.433533,-184.433533,-197.272675,-188.713257,0.111051038,0.111051038,3.15E-02,8.45E-02,172.019043,172.019043,49.5075302,131.18187,4.69E-04,4.69E-04,1.54E-04,3.74E-04
7.5E+18,420,19865.4512,19865.4512,5804.29541,15178.3994,-158.465942,-158.465942,-169.873596,-162.268494,0.162865773,0.162865773,4.68E-02,0.124163412,165.320526,165.320526,48.3034172,126.314819,4.99E-04,4.99E-04,1.67E-04,4.00E-04
1E+19,420,25752.9863,25752.9863,7610.42578,19705.4668,-141.181732,-141.181732,-151.387711,-144.583725,0.214193493,0.214193493,6.20E-02,0.163468376,160.737503,160.737503,47.5005417,122.991852,5.13E-04,5.13E-04,1.74E-04,4.12E-04
2.5E+19,420,59079.0898,59079.0898,18111.1289,45423.1055,-92.0661392,-92.0661392,-98.4304352,-94.1875687,0.517516136,0.517516136,0.155437171,0.396823168,147.49707,147.49707,45.2163086,113.403481,5.01E-04,5.01E-04,1.75E-04,4.03E-04
5E+19,420,109080.117,109080.117,34217.5898,84125.9453,-63.0024223,-63.0024223,-66.8528595,-64.2858963,1.00726318,1.00726318,0.312808931,0.775778472,136.164902,136.164902,42.7138786,105.014557,4.33E-04,4.33E-04,1.53E-04,3.48E-04
7.5E+19,420,153975.594,153975.594,48554.7578,118835.312,-50.5588913,-50.5588913,-54.253727,-51.7905006,1.48083556,1.48083556,0.476966798,1.1462127,128.138672,128.138672,40.4073296,98.8948898,3.94E-04,3.94E-04,1.43E-04,3.19E-04
1E+20,420,195302.234,195302.234,62023.457,150875.984,-44.7477303,-44.7477303,-50.7230911,-46.7395172,1.94693363,1.94693363,0.654982328,1.51628315,121.898071,121.898071,38.711998,94.1693802,3.91E-04,3.91E-04,1.60E-04,3.30E-04
2.5E+20,420,423060.75,423060.75,172353.078,339491.531,-43.1481056,-43.1481056,-62.6418877,-49.6460304,4.31459093,4.31459093,1.72248185,3.45055461,105.621498,105.621498,43.0297318,84.757576,7.88E-04,7.88E-04,6.76E-04,8.37E-04
5E+20,420,775516.5,775516.5,383931.812,644988.25,-36.5286331,-36.5286331,-47.3561897,-40.1378174,7.78935957,7.78935957,3.80732036,6.46201324,96.807869,96.807869,47.9262772,80.5140076,1.03E-03,1.03E-03,8.61E-04,1.04E-03
7.5E+20,420,1111411.25,1111411.25,609180.688,944001.062,-32.4061775,-32.4061775,-38.3674393,-34.3932648,11.0403452,11.0403452,5.69749594,9.2593956,92.4917755,92.4917755,50.6960907,78.5598831,1.17E-03,1.17E-03,8.97E-04,1.12E-03
1E+21,420,1437065.5,1437065.5,800402,1224844.38,-28.5785084,-28.5785084,-28.768322,-28.6417789,14.3118238,14.3118238,7.64886284,12.0908365,89.6945724,89.6945724,49.9571648,76.4487686,1.17E-03,1.17E-03,6.62E-04,1.00E-03
1E+16,440,30.302803,30.302803,8.34195232,22.9825191,-700.813477,-700.813477,-717.778259,-706.468445,2.39E-04,2.39E-04,6.65E-05,1.82E-04,189.135086,189.135086,52.0663414,143.445511,1.49E-05,1.49E-05,4.30E-06,1.15E-05
2.5E+16,440,75.6895905,75.6895905,20.8327293,57.4039726,-622.09259,-622.09259,-638.891907,-627.692383,5.99E-04,5.99E-04,1.66E-04,4.54E-04,188.966873,188.966873,52.0110588,143.314926,2.93E-05,2.93E-05,8.50E-06,2.26E-05
5E+16,440,151.122147,151.122147,41.6092148,114.617836,-562.568115,-562.568115,-579.330078,-568.155457,1.20E-03,1.20E-03,3.32E-04,9.08E-04,188.646042,188.646042,51.9408607,143.077652,4.78E-05,4.78E-05,1.40E-05,3.70E-05
7.5E+16,440,226.330246,226.330246,62.3384247,171.666306,-527.824402,-527.824402,-544.55188,-533.400208,1.79E-03,1.79E-03,4.97E-04,1.36E-03,188.352295,188.352295,51.878109,142.860901,6.31E-05,6.31E-05,1.85E-05,4.88E-05
1E+17,440,301.319275,301.319275,83.0154419,228.551331,-503.209686,-503.209686,-519.871704,-508.763672,2.39E-03,2.39E-03,6.62E-04,1.81E-03,188.068695,188.068695,51.8141632,142.650513,7.63E-05,7.63E-05,2.24E-05,5.92E-05
2.5E+17,440,747.164185,747.164185,206.261047,566.863098,-425.305511,-425.305511,-441.752747,-430.787933,5.93E-03,5.93E-03,1.65E-03,4.50E-03,186.537277,186.537277,51.4952087,141.523254,1.35E-04,1.35E-04,4.03E-05,1.05E-04
5E+17,440,1476.32129,1476.32129,408.902496,1120.51501,-367.242737,-367.242737,-383.409637,-372.631714,1.18E-02,1.18E-02,3.27E-03,8.94E-03,184.289459,184.289459,51.0433769,139.8741,1.99E-04,1.99E-04,6.01E-05,1.56E-04
7.5E+17,440,2190.31836,2190.31836,608.572388,1663.0697,-333.905273,-333.905273,-349.808594,-339.20639,1.76E-02,1.76E-02,4.89E-03,1.33E-02,182.27858,182.27858,50.6454659,138.400879,2.44E-04,2.44E-04,7.45E-05,1.91E-04
1E+18,440,2890.87671,2890.87671,805.623108,2195.79224,-310.6362,-310.6362,-326.283447,-315.851959,2.33E-02,2.33E-02,6.49E-03,1.77E-02,180.434326,180.434326,50.2830391,137.050568,2.79E-04,2.79E-04,8.58E-05,2.19E-04
2.5E+18,440,6879.37646,6879.37646,1946.89502,5235.21631,-239.684952,-239.684952,-253.980545,-244.45015,5.66E-02,5.66E-02,1.59E-02,4.30E-02,171.750778,171.750778,48.6062546,130.702606,3.95E-04,3.95E-04,1.26E-04,3.13E-04
5E+18,440,13014.7666,13014.7666,3754.77051,9928.10156,-190.535217,-190.535217,-203.070557,-194.713669,0.109699778,0.109699778,3.13E-02,8.36E-02,162.463562,162.463562,46.8708687,123.932671,4.72E-04,4.72E-04,1.55E-04,3.76E-04
7.5E+18,440,18809.0938,18809.0938,5503.20996,14373.7998,-164.107925,-164.107925,-175.214035,-167.809952,0.161444515,0.161444515,4.65E-02,0.123116471,156.52951,156.52951,45.7977791,119.618935,5.07E-04,5.07E-04,1.69E-04,4.05E-04
1E+19,440,24409.9727,24409.9727,7220.55371,18680.166,-146.357681,-146.357681,-156.383087,-149.699478,0.212118998,0.212118998,6.16E-02,0.161959812,152.355072,152.355072,45.0671501,116.59243,5.23E-04,5.23E-04,1.77E-04,4.19E-04
2.5E+19,440,56107.3008,56107.3008,17194.582,43136.3945,-95.9510193,-95.9510193,-102.233086,-98.0450439,0.513406754,0.513406754,0.154551178,0.393788218,140.077698,140.077698,42.9280548,107.694481,5.17E-04,5.17E-04,1.80E-04,4.15E-04
5E+19,440,103727.797,103727.797,32508.2539,79987.9453,-65.9518127,-65.9518127,-69.8831482,-67.2622604,1.00279975,1.00279975,0.313060641,0.772886753,129.483597,129.483597,40.5801125,99.8490982,4.51E-04,4.51E-04,1.59E-04,3.62E-04
7.5E+19,440,146544.938,146544.938,46204.8281,113098.227,-53.1107292,-53.1107292,-57.0907249,-54.4373932,1.47926807,1.47926807,0.480217099,1.14625108,121.954865,121.954865,38.4517136,94.1204834,4.13E-04,4.13E-04,1.51E-04,3.35E-04
1E+20,440,186026.938,186026.938,59136.2266,143730.031,-47.1171646,-47.1171646,-53.6783524,-49.3042297,1.94959295,1.94959295,0.662348747,1.52051163,116.108879,116.108879,36.9099312,89.7092285,4.13E-04,4.13E-04,1.70E-04,3.49E-04
2.5E+20,440,403450.562,403450.562,164281.984,323727.719,-45.0156326,-45.0156326,-65.0086365,-51.679966,4.32741785,4.32741785,1.7332201,3.46268535,100.725616,100.725616,41.0147018,80.8219833,8.18E-04,8.18E-04,6.94E-04,8.65E-04
5E+20,440,739595.75,739595.75,366142.406,615111.312,-38.314537,-38.314537,-49.4185295,-42.0158691,7.7909646,7.7909646,3.80713248,6.46302032,92.3238678,92.3238678,45.7056198,76.7844543,1.09E-03,1.09E-03,8.94E-04,1.09E-03
7.5E+20,440,1060180,1060180,579643.875,900001.312,-33.8964272,-33.8964272,-39.9026451,-35.8984985,11.0431728,11.0431728,5.69105148,9.25913239,88.2283096,88.2283096,48.2380333,74.8982162,1.22E-03,1.22E-03,9.23E-04,1.16E-03
1E+21,440,1371095,1371095,762128.75,1168106.25,-29.9816589,-29.9816589,-30.1918488,-30.0517216,14.3162603,14.3162603,7.64237833,12.0916328,85.5770187,85.5770187,47.5683327,72.9074554,1.23E-03,1.23E-03,6.95E-04,1.05E-03
1E+16,460,28.3186588,28.3186588,7.8427968,21.493372,-708.72052,-708.72052,-725.008972,-714.149963,2.36E-04,2.36E-04,6.58E-05,1.79E-04,176.75058,176.75058,48.9507523,134.150635,1.42E-05,1.42E-05,4.12E-06,1.10E-05
2.5E+16,460,70.7184372,70.7184372,19.5869808,53.6746178,-629.868164,-629.868164,-646.093445,-635.276611,5.88E-04,5.88E-04,1.64E-04,4.47E-04,176.555817,176.555817,48.9009056,134.004181,2.81E-05,2.81E-05,8.18E-06,2.17E-05
5E+16,460,141.221085,141.221085,39.1261559,107.189445,-570.326172,-570.326172,-586.517517,-575.723328,1.17E-03,1.17E-03,3.28E-04,8.93E-04,176.286499,176.286499,48.8412476,133.804749,4.59E-05,4.59E-05,1.35E-05,3.55E-05
7.5E+16,460,211.518509,211.518509,58.6159477,160.55098,-535.525757,-535.525757,-551.648132,-540.899902,1.76E-03,1.76E-03,4.91E-04,1.34E-03,176.025955,176.025955,48.780262,133.610733,6.07E-05,6.07E-05,1.78E-05,4.70E-05
1E+17,460,281.650879,281.650879,78.0751572,213.792297,-510.90976,-510.90976,-527.002075,-516.273865,2.34E-03,2.34E-03,6.54E-04,1.78E-03,175.792648,175.792648,48.7306824,133.43866,7.35E-05,7.35E-05,2.17E-05,5.70E-05
2.5E+17,460,698.986572,698.986572,194.12088,530.697998,-432.910004,-432.910004,-448.835327,-438.218414,5.83E-03,5.83E-03,1.63E-03,4.43E-03,174.509247,174.509247,48.4642906,132.494263,1.31E-04,1.31E-04,3.91E-05,1.02E-04
5E+17,460,1382.94385,1382.94385,385.206848,1050.36487,-374.723938,-374.723938,-390.384735,-379.944214,1.16E-02,1.16E-02,3.24E-03,8.80E-03,172.633133,172.633133,48.0854416,131.117233,1.94E-04,1.94E-04,5.87E-05,1.52E-04
7.5E+17,460,2053.98267,2053.98267,573.735046,1560.56677,-341.225739,-341.225739,-356.629608,-346.360352,1.73E-02,1.73E-02,4.84E-03,1.31E-02,170.932678,170.932678,47.7462997,129.87056,2.39E-04,2.39E-04,7.30E-05,1.87E-04
1E+18,460,2713.71216,2713.71216,760.084839,2062.50317,-317.837738,-317.837738,-333.010895,-322.895477,2.29E-02,2.29E-02,6.43E-03,1.74E-02,169.376587,169.376587,47.4407616,128.731308,2.74E-04,2.74E-04,8.43E-05,2.15E-04
2.5E+18,460,6487.15479,6487.15479,1842.76343,4939.02441,-246.296753,-246.296753,-260.18692,-250.926804,5.58E-02,5.58E-02,1.58E-02,4.25E-02,161.958557,161.958557,46.0065002,123.307869,3.94E-04,3.94E-04,1.25E-04,3.11E-04
5E+18,460,12325.5342,12325.5342,3564.02808,9405.03223,-196.502853,-196.502853,-208.679108,-200.5616,0.108667001,0.108667001,3.11E-02,8.28E-02,153.859863,153.859863,44.4898262,117.403191,4.76E-04,4.76E-04,1.55E-04,3.78E-04
7.5E+18,460,17848.6387,17848.6387,5230.6333,13642.6367,-169.507492,-169.507492,-180.398544,-173.137833,0.159829676,0.159829676,4.62E-02,0.121950559,148.536575,148.536575,43.5293922,113.53418,5.13E-04,5.13E-04,1.70E-04,4.09E-04
1E+19,460,23194.8594,23194.8594,6867.33496,17752.3516,-151.468185,-151.468185,-161.247299,-154.72789,0.210621998,0.210621998,6.13E-02,0.160853177,144.77092,144.77092,42.8625336,110.801453,5.32E-04,5.32E-04,1.79E-04,4.25E-04
2.5E+19,460,53407.2891,53407.2891,16364.4102,41059.6602,-99.7865829,-99.7865829,-106.008614,-101.860596,0.509758413,0.509758413,0.153871953,0.391129583,133.336838,133.336838,40.8554459,102.509705,5.32E-04,5.32E-04,1.84E-04,4.26E-04
5E+19,460,98857.8438,98857.8438,30960.4707,76225.3828,-68.9136887,-68.9136887,-72.9573669,-70.2615814,0.999237418,0.999237418,0.313686103,0.770720303,123.404427,123.404427,38.6480103,95.1522827,4.69E-04,4.69E-04,1.65E-04,3.76E-04
7.5E+19,460,139770.75,139770.75,44077.0547,107872.852,-55.6718826,-55.6718826,-60.0107727,-57.1181793,1.4777478,1.4777478,0.483824492,1.14644003,116.317383,116.317383,36.6809769,89.7719116,4.33E-04,4.33E-04,1.59E-04,3.52E-04
1E+20,460,177531.172,177531.172,56511.793,137191.375,-49.5885277,-49.5885277,-56.8245773,-52.0005455,1.95046878,1.95046878,0.668913066,1.52328348,110.806244,110.806244,35.2718887,85.6281204,4.37E-04,4.37E-04,1.82E-04,3.71E-04
2.5E+20,460,385514.719,385514.719,156978.688,309336.031,-46.8894157,-46.8894157,-67.3568115,-53.7118835,4.33923101,4.33923101,1.7463063,3.4749229,96.2477417,96.2477417,39.1913567,77.2289505,8.48E-04,8.48E-04,7.12E-04,8.92E-04
5E+20,460,706922.062,706922.062,349942.531,587928.875,-40.0503654,-40.0503654,-51.4886742,-43.8631325,7.79629374,7.79629374,3.80609035,6.4662261,88.2452087,88.2452087,43.6833916,73.3912735,1.13E-03,1.13E-03,9.28E-04,1.13E-03
7.5E+20,460,1013411.81,1013411.81,552775.5,859866.312,-35.4056129,-35.4056129,-41.4513054,-37.4208412,11.045085,11.045085,5.6814065,9.25719166,84.3362579,84.3362579,46.0020447,71.5581894,1.27E-03,1.27E-03,9.50E-04,1.20E-03
1E+21,460,1311028.75,1311028.75,727345.188,1116467.62,-31.3300571,-31.3300571,-31.5938435,-31.4179859,14.3320274,14.3320274,7.63908386,12.1010466,81.8279724,81.8279724,45.397316,69.6844177,1.29E-03,1.29E-03,7.26E-04,1.10E-03
1E+16,480,26.5576172,26.5576172,7.3978734,20.1710358,-716.061523,-716.061523,-731.778503,-721.300537,2.32E-04,2.32E-04,6.50E-05,1.76E-04,165.757446,165.757446,46.1733932,125.896095,1.36E-05,1.36E-05,3.96E-06,1.05E-05
2.5E+16,480,66.3287888,66.3287888,18.4793968,50.378994,-637.22229,-637.22229,-652.913025,-642.452576,5.78E-04,5.78E-04,1.62E-04,4.39E-04,165.596359,165.596359,46.1356506,125.776123,2.69E-05,2.69E-05,7.88E-06,2.08E-05
5E+16,480,132.462708,132.462708,36.9145088,100.613312,-577.626465,-577.626465,-593.285339,-582.84613,1.15E-03,1.15E-03,3.24E-04,8.77E-04,165.353348,165.353348,46.0804291,125.595703,4.42E-05,4.42E-05,1.30E-05,3.42E-05
7.5E+16,480,198.444107,198.444107,55.3172646,150.735153,-542.85083,-542.85083,-558.48114,-548.060974,1.73E-03,1.73E-03,4.86E-04,1.31E-03,165.145386,165.145386,46.0350876,125.441956,5.85E-05,5.85E-05,1.73E-05,4.53E-05
1E+17,480,264.27652,264.27652,73.6886902,200.747238,-518.220154,-518.220154,-533.823242,-523.421204,2.30E-03,2.30E-03,6.48E-04,1.75E-03,164.94841,164.94841,45.9928551,125.296562,7.10E-05,7.10E-05,2.10E-05,5.50E-05
2.5E+17,480,656.388977,656.388977,183.321259,498.699738,-440.163025,-440.163025,-455.604004,-445.310028,5.74E-03,5.74E-03,1.61E-03,4.36E-03,163.874298,163.874298,45.7680511,124.505554,1.27E-04,1.27E-04,3.81E-05,9.89E-05
5E+17,480,1300.01624,1300.01624,364.042908,988.025146,-381.824829,-381.824829,-397.011536,-386.887054,1.14E-02,1.14E-02,3.21E-03,8.67E-03,162.281265,162.281265,45.4435425,123.335358,1.90E-04,1.90E-04,5.74E-05,1.48E-04
7.5E+17,480,1932.79456,1932.79456,542.596924,1469.39539,-348.229797,-348.229797,-363.157288,-353.205658,1.70E-02,1.70E-02,4.79E-03,1.29E-02,160.847397,160.847397,45.1549835,122.283264,2.34E-04,2.34E-04,7.16E-05,1.83E-04
1E+18,480,2555.87646,2555.87646,719.24823,1943.66699,-324.732391,-324.732391,-339.412567,-329.625763,2.26E-02,2.26E-02,6.37E-03,1.72E-02,159.525269,159.525269,44.8919411,121.314156,2.70E-04,2.70E-04,8.29E-05,2.11E-04
2.5E+18,480,6133.73389,6133.73389,1748.76807,4672.07861,-252.621414,-252.621414,-266.149872,-257.13089,5.51E-02,5.51E-02,1.57E-02,4.20E-02,153.135025,153.135025,43.6598091,116.643288,3.91E-04,3.91E-04,1.24E-04,3.09E-04
5E+18,480,11698.1855,11698.1855,3390.87134,8929.08105,-202.197998,-202.197998,-214.107742,-206.167908,0.107502922,0.107502922,3.09E-02,8.20E-02,146.028656,146.028656,42.3283081,111.461876,4.78E-04,4.78E-04,1.55E-04,3.80E-04
7.5E+18,480,16976.9941,16976.9941,4982.61768,12978.8682,-174.828232,-174.828232,-185.438339,-178.364929,0.15867582,0.15867582,4.60E-02,0.12110576,141.282745,141.282745,41.4654045,108.010292,5.19E-04,5.19E-04,1.71E-04,4.13E-04
1E+19,480,22083.6875,22083.6875,6545.63184,16904.3359,-156.376251,-156.376251,-165.98114,-159.577881,0.208856255,0.208856255,6.10E-02,0.159576178,137.835541,137.835541,40.8546219,105.508568,5.40E-04,5.40E-04,1.80E-04,4.30E-04
2.5E+19,480,50942.1992,50942.1992,15609.1201,39164.5039,-103.560486,-103.560486,-109.773674,-105.631554,0.506372631,0.506372631,0.153507397,0.388750881,127.18248,127.18248,38.9697838,97.7782516,5.46E-04,5.46E-04,1.88E-04,4.37E-04
5E+19,480,94403.8281,94403.8281,29552.1152,72786.5859,-71.8753815,-71.8753815,-76.0749359,-73.2752304,0.99601227,0.99601227,0.314597517,0.76887399,117.844475,117.844475,36.8899574,90.859642,4.88E-04,4.88E-04,1.71E-04,3.91E-04
