200.10253170593285, -111.08693099373971
205.4042399224292, -111.98145969739522
213.14571761389226, -116.76311468673163
218.7650774629966, -117.95822739256135
225.79849941854945, -122.17093935077929
232.1948701207753, -125.58201524121495
237.3077353458179, -126.87894288241984
247.74797106109173, -132.41271329040075
253.32132997676422, -133.7718426107303
260.6858708230818, -137.0210178340165
267.092379102909, -139.86991800540267
273.1991676971302, -142.26613774932588
280.6546948765781, -146.4556769503477
285.26288504276954, -146.5779073831672
296.0527937245837, -151.18521303061215
302.0846523974034, -151.92633232981808
308.77422926919166, -156.83227215908386
316.30052359663, -155.2460690965798
320.6298079442714, -160.10295390861683
329.55087623348373, -159.84348614824086
333.684265361775, -163.39740074516152
344.00794342153534, -172.44340107761394
350.6017765048662, -165.8825501769398
356.2964505313792, -178.05132618223303
354.7978521033495, -163.52302951885446
366.1166778774094, -175.85666820881858
369.9551047754217, -179.22088000552407
380.3528989813303, -182.892622316452
386.56813877758, -183.45886203979325
392.41267264689594, -188.14760661452334
