Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
8.00E+18,200,11702.0869,122696.148,63298.9961,65899.0781,253.187088,199.092117,203.950714,218.743301,4.98E-02,0.444953918,0.248947293,0.247891858,91.2983398,957.261353,493.851532,514.137085,7.50E-04,4.86E-03,2.63E-03,3.15E-03,3507.81372,27489.3672,26236.416,19077.8652,1028.10754,143203.969,6461.60742,50231.2305,0,0,0,0,121.425194,1214.00256,617.341675,650.923157
1.00E+19,200,14454.7676,147798.484,76290.2422,79514.5,236.97847,184.194229,189.639435,203.60405,6.13E-02,0.540838659,0.302814484,0.301647753,90.2195663,922.485596,476.166229,496.290436,8.12E-04,5.01E-03,2.74E-03,3.30E-03,3238.8147,25759.1387,23567.0547,17521.6699,949.260986,109048.773,5875.55908,38624.5312,0,0,0,0,120.42363,1168.66858,594.677612,627.923279
2.00E+19,200,27809.5234,255893.234,133382.281,139028.344,189.633789,141.702789,149.36348,160.233353,0.116337709,0.970374227,0.544266462,0.543659449,86.7866974,798.579956,416.253326,433.873322,1.00E-03,5.14E-03,2.98E-03,3.57E-03,2259.7334,19468.8945,14396.7842,12041.8047,777.562317,40189.8242,4223.43604,15063.6084,0,0,0,0,117.030853,1017.66028,522.289062,552.326721
4.00E+19,200,54113.2148,427287.875,228840.516,236747.203,145.501648,105.39167,115.167397,122.020233,0.220849216,1.69446659,0.949292183,0.95486933,84.437027,666.730286,357.077545,369.414948,1.15E-03,4.75E-03,3.04E-03,3.52E-03,1852.7467,12586.8086,8872.65137,7770.73584,623.229675,14183.4189,2922.23779,5909.62891,0,0,0,0,115.029297,871.498718,457.779724,481.435913
6.00E+19,200,81412.7344,571622.5,316017.531,323017.594,119.326843,86.7070618,96.4030151,100.812309,0.326622725,2.34024358,1.31042206,1.32576275,84.6897202,594.631165,328.737701,336.019531,1.16E-03,4.30E-03,2.94E-03,3.28E-03,1669.53357,9151.39355,6991.5835,5937.50342,591.348511,7818.85254,2257.49341,3555.89819,0,0,0,0,117.094421,803.893127,433.463348,451.483643
8.00E+19,200,109857.023,704803.188,401507.844,405389.344,99.8105927,73.8708267,82.6674881,85.4496384,0.439805806,2.96549511,1.65474236,1.68668115,85.709198,549.879456,313.251862,316.280151,1.09E-03,3.85E-03,2.74E-03,2.96E-03,1575.90833,7442.81836,6081.08154,5033.26953,487.083008,4270.2002,1871.62463,2209.63599,0,0,0,0,121.116615,770.044434,425.32193,438.827667
1.00E+20,200,138536.734,830533.938,486532,485200.906,84.7066803,64.7969208,71.4018173,73.6351395,0.556114793,3.54901099,1.98086786,2.02866459,86.4678345,518.378479,303.669373,302.838562,9.94E-04,3.49E-03,2.48E-03,2.63E-03,1493.7207,6158.81885,5382.45801,4344.99951,441.925568,3261.7937,1630.3446,1778.02136,0,0,0,0,125.077415,750.538818,424.545959,433.38736
1.00E+16,220,16.4021606,182.833557,97.3458252,98.8605118,819.128845,760.337219,758.979919,779.481995,7.36E-05,6.66E-04,3.84E-04,3.75E-04,102.374237,1141.15735,607.584839,617.038818,1.10E-05,1.06E-04,5.61E-05,6.01E-05,4502.08008,30021.7031,36089.2578,23537.6797,28852.3301,304437.875,133901.766,155730.672,0,0,0,0,113.238075,1242.5592,655.117371,670.304871
2.00E+16,220,32.5042877,362.264587,192.56514,195.778,760.197021,701.340454,700.256653,720.598083,1.46E-04,1.32E-03,7.62E-04,7.44E-04,101.437904,1130.53882,600.948547,610.975098,1.88E-05,1.78E-04,9.44E-05,1.02E-04,4498.96924,30010.4648,36060.4102,23523.2812,19840.4102,212590.031,93983.9219,108804.789,0,0,0,0,113.230591,1242.25171,654.882019,670.121399
4.00E+16,220,64.2354507,715.679688,379.667328,386.527496,701.515381,642.576355,641.840088,661.977295,2.90E-04,2.62E-03,1.51E-03,1.47E-03,100.231552,1116.73035,592.424316,603.128723,3.16E-05,2.96E-04,1.56E-04,1.69E-04,4492.76123,29988.0039,36002.8477,23494.5371,14320.7969,202974.297,70291.5156,95862.2109,0,0,0,0,113.215622,1241.63684,654.412292,669.754883
