Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
8.00E+18,200,8462.97949,135242.141,111165.297,84956.8047,159.611145,137.412827,123.983215,140.335739,3.67E-02,0.524223924,0.379516602,0.313463509,66.0272064,1055.1438,867.299011,662.823303,2.16E-04,2.55E-03,1.71E-03,1.67E-03,1693.172,24322.8145,27476.6113,17830.8652,435.710754,9974.67285,7419.85156,5943.41162,0,0,0,0,91.8131027,1366.58643,1117.60205,858.667175
1.00E+19,200,10205.624,161199.516,130612.109,100672.414,147.47287,126.206734,111.931274,128.536957,4.51E-02,0.628447354,0.450480521,0.374667257,63.698494,1006.12817,815.216614,628.347717,2.22E-04,2.57E-03,1.64E-03,1.66E-03,1513.62683,22379.8398,24504.9297,16132.7998,404.100067,9094.54492,6560.57617,5353.07373,0,0,0,0,89.0433807,1299.27856,1047.20618,811.842712
2.00E+19,200,18242.4883,278619.688,208556.344,168472.844,116.55793,92.0860443,75.6354904,94.7598267,8.53E-02,1.10209632,0.746274054,0.644545734,56.9303284,869.503601,650.853149,525.76239,2.48E-04,2.36E-03,1.19E-03,1.51E-03,1012.15674,15976.8379,15443.0938,10810.6963,328.842529,6829.33984,4350.49854,3836.22729,0,0,0,0,81.533783,1139.85693,852.498779,691.29657
4.00E+19,200,32748.8711,438102.344,289933.438,253594.875,95.2719574,65.4785538,48.4601173,69.7368774,0.156963959,1.82930923,1.11526895,1.03384733,51.1005974,683.604919,452.405579,395.703705,2.97E-04,1.88E-03,6.81E-04,1.23E-03,690.580688,9648.2168,8071.29346,6136.69727,275.846649,4819.67285,2703.30298,2599.60742,0,0,0,0,76.1826477,935.202209,617.186584,542.857178
6.00E+19,200,45584.6953,543666.562,333738.906,307663.375,86.4467468,55.1612282,36.1755867,59.2611847,0.216733828,2.32916451,1.31040752,1.28543532,47.419548,565.549988,347.172394,320.047333,3.41E-04,1.65E-03,4.37E-04,1.08E-03,549.559021,6623.92529,5093.78711,4089.09058,242.675125,3594.26465,1961.42383,1932.78772,0,0,0,0,73.1999664,811.276672,494.664673,459.713776
8.00E+19,200,57297.8086,622587.312,355089.656,344991.594,80.6023712,49.2136269,28.2102757,52.6754265,0.26926744,2.71887136,1.43530393,1.47448099,44.7030983,485.735535,277.036926,269.158539,3.72E-04,1.51E-03,2.83E-04,9.57E-04,472.265259,4955.72314,3562.60547,2996.8645,211.369568,2772.29175,1444.56238,1476.07458,0,0,0,0,70.9018478,727.741089,409.94931,402.864105
1.00E+20,200,68396.6719,686104.25,364637.312,373046.094,75.7942276,45.2522964,23.3091316,48.1185493,0.318820894,3.04288006,1.52715957,1.62962019,42.6898422,428.232574,227.588715,232.837036,3.93E-04,1.40E-03,1.98E-04,8.64E-04,424.939087,3948.51709,2682.56201,2352.0061,187.964783,2211.19141,1108.70459,1169.28699,0,0,0,0,69.2601166,666.593262,348.028687,361.294037
1.00E+16,220,14.5900335,260.144775,233.384094,169.372971,703.186035,670.742676,656.960266,676.962952,5.99E-05,8.74E-04,6.60E-04,5.31E-04,91.0638199,1623.69604,1456.66882,1057.14294,7.21E-06,1.17E-04,1.01E-04,7.76E-05,17534.8496,31111.6582,70513.7891,39720.0977,7891.72119,188193.859,193643.516,129909.695,0,0,0,0,100.577995,1811.78796,1597.78271,1170.04956
2.00E+16,220,28.7812729,512.108582,458.312103,333.067291,644.22937,612.046997,598.372253,618.216248,1.19E-04,1.73E-03,1.31E-03,1.05E-03,89.8192825,1598.16516,1430.27954,1039.42139,1.19E-05,1.92E-04,1.64E-04,1.27E-04,17480.4336,31093.957,70376.3516,39650.2461,5792.48096,134502.219,151163.312,97152.6641,0,0,0,0,100.527786,1810.25977,1596.1311,1168.9729
4.00E+16,220,56.5291023,1003.18262,894.988464,651.566711,585.535095,553.686646,540.147461,559.789734,2.35E-04,3.43E-03,2.58E-03,2.08E-03,88.2067261,1565.34338,1396.51965,1016.68994,1.94E-05,3.08E-04,2.61E-04,2.04E-04,17372.3262,31058.5879,70103.0078,39511.3086,4065.09668,96607.8438,99478.8125,66717.25,0,0,0,0,100.427803,1807.21191,1592.83948,1166.82642
