Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
8.00E+18,200,60227.6445,83055.625,27172.9121,56818.7227,-222.066833,-158.443848,-183.442001,-187.984238,0.222489953,0.296825171,0.104541846,0.207952321,469.889221,647.99054,211.999969,443.293243,2.97E-03,2.09E-03,9.14E-04,2.01E-03,9608.54785,71521.4609,5192.61426,28774.209,4153.93896,5786.2002,1790.59521,3910.24487,0,0,0,0,639.52002,829.120789,274.369873,581.003601
1.00E+19,200,75417.3359,98622.5703,32856.2344,68965.3828,-203.507843,-145.430496,-169.276367,-172.738235,0.282202363,0.355810344,0.127968654,0.255327135,470.717957,615.55365,205.072479,430.448029,3.12E-03,2.09E-03,9.41E-04,2.06E-03,9424.2832,56692.0078,4893.51758,23669.9355,3779.87964,5056.90283,1620.36694,3485.71655,0,0,0,0,653.078857,786.094055,265.808289,568.327087
2.00E+19,200,148950.078,165049.578,58405.6758,124135.117,-150.939484,-106.94828,-129.624084,-129.170609,0.590415835,0.626388133,0.235091284,0.483965129,464.836639,515.079285,182.269791,387.395233,3.39E-03,1.89E-03,9.81E-04,2.07E-03,8514.83301,25012.5723,3824.75171,12450.7188,2984.62744,3260.27686,1184.64758,2476.51733,0,0,0,0,677.992249,673.68042,241.281509,530.98468
4.00E+19,200,287389.781,259852,102952.641,216731.453,-108.016708,-76.5694962,-94.880867,-93.1556931,1.17566276,1.0675528,0.432969123,0.892061532,448.436493,405.467163,160.644958,338.182892,3.35E-03,1.52E-03,9.27E-04,1.88E-03,7042.10645,10183.4092,2754.84351,6660.11963,2349.33984,2047.65491,849.118408,1748.70447,0,0,0,0,670.138062,556.833496,224.249603,483.740387
6.00E+19,200,427810.844,336545.219,142296,302217.344,-83.8295746,-63.0453987,-78.6719055,-75.1822891,1.77405226,1.41409004,0.618905067,1.26901579,445.030853,350.091644,148.023621,314.38205,3.01E-03,1.34E-03,8.81E-04,1.71E-03,6021.82861,7708.82373,2199.43188,5310.02783,2025.34155,1585.06982,700.782471,1437.06458,0,0,0,0,689.44928,498.365723,215.509064,467.774658
8.00E+19,200,558209.25,408304.812,181365.5,382626.5,-67.8124619,-52.8487549,-68.267601,-62.9762726,2.41044354,1.71956897,0.796553075,1.64218855,435.508514,318.554779,141.499298,298.520874,2.57E-03,1.14E-03,8.45E-04,1.52E-03,5231.98535,6286.94043,1872.62134,4463.84912,1820.1311,1317.72107,614.292786,1250.71497,0,0,0,0,708.009705,472.443298,215.740601,465.397858
1.00E+20,200,669583.375,469582.781,219227.469,452797.875,-59.036274,-44.5163002,-59.8372574,-54.4632759,3.02059603,2.01375747,0.984766722,2.00637341,417.921051,293.090515,136.831024,282.614227,2.33E-03,9.31E-04,7.85E-04,1.34E-03,4589.41797,5243.64844,1630.53772,3821.20142,1688.49646,1139.47681,556.975769,1128.31628,0,0,0,0,706.628723,450.1409,218.36795,458.379181
1.00E+16,220,75.5950394,161.896332,43.0447464,93.5120316,-802.577332,-693.216675,-733.218811,-743.004211,2.94E-04,5.27E-04,1.66E-04,3.29E-04,471.827148,1010.47748,268.664185,583.656311,4.87E-05,7.78E-05,2.31E-05,5.16E-05,9350.99902,190638.656,5732.646,68574.1016,335549.562,210654.156,51334.9844,199179.578,0,0,0,0,511.667572,1113.56177,293.241211,639.490173
2.00E+16,220,150.673874,317.430298,85.0889511,184.397705,-743.169495,-635.137146,-674.603394,-684.303406,5.85E-04,1.04E-03,3.28E-04,6.51E-04,470.216187,990.62207,265.541748,575.460022,8.32E-05,1.28E-04,3.87E-05,8.63E-05,9349.33984,190308.328,5730.68945,68462.7891,222037.5,147025.766,36206.1289,135089.797,0,0,0,0,511.772064,1112.47888,293.121399,639.124084
4.00E+16,220,299.94455,619.222168,167.571716,362.246185,-683.862976,-577.474487,-616.346741,-625.894714,1.16E-03,2.05E-03,6.49E-04,1.29E-03,468.026642,966.220154,261.475098,565.240662,1.40E-04,2.06E-04,6.37E-05,1.42E-04,9346.02734,189649.828,5726.77832,68240.8828,144218.188,102119.344,25490.8965,90609.4766,0,0,0,0,511.980804,1110.32129,292.882385,638.394836
6.00E+16,220,448.36142,912.976685,248.587677,536.641907,-649.225586,-543.956482,-582.46637,-591.882812,1.74E-03,3.03E-03,9.65E-04,1.91E-03,466.408661,949.725403,258.593719,558.242615,1.89E-04,2.70E-04,8.43E-05,1.88E-04,9342.72656,188994.172,5722.87061,68019.9297,110988.227,82280.1641,20736.8203,71335.0703,0,0,0,0,512.189331,1108.17505,292.644257,637.669556
